year,race,percentage_pass_math
1997,Malay,60.7
1997,Chinese,90
1997,Indian,69.3
1997,Others,75.6
1997,Overall,85.2
1998,Malay,58.3
1998,Chinese,90.1
1998,Indian,67.3
1998,Others,82.3
1998,Overall,84.9
1999,Malay,60.8
1999,Chinese,91.2
1999,Indian,73.9
1999,Others,77.8
1999,Overall,86.3
2000,Malay,64.2
2000,Chinese,91.8
2000,Indian,73.3
2000,Others,84.5
2000,Overall,87.1
2001,Malay,64.1
2001,Chinese,91
2001,Indian,73.5
2001,Others,83
2001,Overall,86.6
2002,Malay,66.9
2002,Chinese,92.2
2002,Indian,75.6
2002,Others,85.5
2002,Overall,87.5
2003,Malay,66.2
2003,Chinese,92.1
2003,Indian,76.1
2003,Others,85.5
2003,Overall,87.7
2004,Malay,67.8
2004,Chinese,92.8
2004,Indian,77.3
2004,Others,85.3
2004,Overall,89
2005,Malay,69.4
2005,Chinese,92.5
2005,Indian,76.8
2005,Others,87.1
2005,Overall,88.3
2006,Malay,68.3
2006,Chinese,92.6
2006,Indian,79
2006,Others,85.3
2006,Overall,88.4
2007,Malay,66.2
2007,Chinese,91.7
2007,Indian,75.9
2007,Others,88.6
2007,Overall,87
2008,Malay,66.4
2008,Chinese,92.6
2008,Indian,77.6
2008,Others,89.1
2008,Overall,87.8
2009,Malay,69.8
2009,Chinese,93.2
2009,Indian,77.7
2009,Others,89.6
2009,Overall,88.9
2010,Malay,70.1
2010,Chinese,93.2
2010,Indian,78.2
2010,Others,90.2
2010,Overall,89
2011,Malay,71.2
2011,Chinese,92.8
2011,Indian,79.1
2011,Others,90.1
2011,Overall,89
2012,Malay,70.4
2012,Chinese,92.8
2012,Indian,79.7
2012,Others,88.8
2012,Overall,88.9
2013,Malay,69.2
2013,Chinese,92.7
2013,Indian,79.5
2013,Others,86
2013,Overall,88.7
2014,Malay,71.7
2014,Chinese,93.4
2014,Indian,82.9
2014,Others,88.7
2014,Overall,89.7
2015,Malay,71.3
2015,Chinese,93.3
2015,Indian,80.2
2015,Others,88.2
2015,Overall,89.4
2016,Malay,70.6
2016,Chinese,93.5
2016,Indian,81.5
2016,Others,85.3
2016,Overall,89.6
2017,Malay,70.2
2017,Chinese,92.9
2017,Indian,82.2
2017,Others,89.4
2017,Overall,89.1
2018,Malay,69.4
2018,Chinese,92.9
2018,Indian,82
2018,Others,86.9
2018,Overall,89
2019,Malay,71.2
2019,Chinese,92.7
2019,Indian,83.1
2019,Others,88.1
2019,Overall,89
2020,Malay,69.5
2020,Chinese,92.4
2020,Indian,83.8
2020,Others,89
2020,Overall,88.8
2021,Malay,68.2
2021,Chinese,92.3
2021,Indian,83.7
2021,Others,87.2
2021,Overall,88.6
