year,race,percentage_pass_eng
2008,Malay,99.1
2008,Chinese,96.4
2008,Indian,99.6
2008,Others,98.5
2008,Overall,97.5
2009,Malay,99
2009,Chinese,96.8
2009,Indian,99.7
2009,Others,98.8
2009,Overall,97.7
2010,Malay,99
2010,Chinese,96.9
2010,Indian,99.6
2010,Others,96.3
2010,Overall,97.6
2011,Malay,99.6
2011,Chinese,97
2011,Indian,99.7
2011,Others,99.2
2011,Overall,98
2012,Malay,99.5
2012,Chinese,97.7
2012,Indian,99.5
2012,Others,98.2
2012,Overall,98.3
2013,Malay,99.2
2013,Chinese,97.8
2013,Indian,99.8
2013,Others,99.7
2013,Overall,98.4
2014,Malay,99.1
2014,Chinese,98.5
2014,Indian,99.3
2014,Others,99.7
2014,Overall,98.8
2015,Malay,99.2
2015,Chinese,98.4
2015,Indian,99
2015,Others,99.6
2015,Overall,98.8
2016,Malay,99.7
2016,Chinese,99.3
2016,Indian,99.6
2016,Others,99.6
2016,Overall,99.4
2017,Malay,99.3
2017,Chinese,99.3
2017,Indian,100
2017,Others,99.4
2017,Overall,99.4
2018,Malay,99.5
2018,Chinese,99
2018,Indian,99.7
2018,Others,99.6
2018,Overall,99.2
2019,Malay,99.5
2019,Chinese,99.3
2019,Indian,99.6
2019,Others,100
2019,Overall,99.4
2020,Malay,99.7
2020,Chinese,99.2
2020,Indian,100
2020,Others,99.8
2020,Overall,99.5
2021,Malay,99.1
2021,Chinese,99.1
2021,Indian,99.5
2021,Others,99.8
2021,Overall,99.1
