year,race,percentage_pass_math
2008,Malay,41.5
2008,Chinese,66.4
2008,Indian,49.1
2008,Others,60.6
2008,Overall,55.1
2009,Malay,39.4
2009,Chinese,67.7
2009,Indian,46.5
2009,Others,57.3
2009,Overall,54.3
2010,Malay,47.8
2010,Chinese,69.1
2010,Indian,51.3
2010,Others,60.2
2010,Overall,59.2
2011,Malay,46.6
2011,Chinese,71.2
2011,Indian,49.8
2011,Others,74.6
2011,Overall,60.1
2012,Malay,55.3
2012,Chinese,76.2
2012,Indian,57.2
2012,Others,69.3
2012,Overall,66.2
2013,Malay,56.3
2013,Chinese,77.6
2013,Indian,60.5
2013,Others,69.2
2013,Overall,67.8
2014,Malay,59.8
2014,Chinese,77.6
2014,Indian,65.3
2014,Others,76.6
2014,Overall,69
2015,Malay,60.4
2015,Chinese,80.2
2015,Indian,62.9
2015,Others,78.4
2015,Overall,70.6
2016,Malay,69.4
2016,Chinese,86.7
2016,Indian,73.6
2016,Others,83.7
2016,Overall,78.6
2017,Malay,73.4
2017,Chinese,87.1
2017,Indian,77.2
2017,Others,85.6
2017,Overall,80.3
2018,Malay,73.9
2018,Chinese,88.1
2018,Indian,74.6
2018,Others,82.8
2018,Overall,80.4
2019,Malay,73
2019,Chinese,87.1
2019,Indian,79
2019,Others,81.2
2019,Overall,80.1
2020,Malay,74.8
2020,Chinese,88.1
2020,Indian,73.2
2020,Others,87.5
2020,Overall,80.8
2021,Malay,71.3
2021,Chinese,90.6
2021,Indian,78.1
2021,Others,87.6
2021,Overall,81.5
